Period,Item,LEI_Code,Institution_Name,Exposure_Country_Code,Exposure_Country_Name,Total_Amount,Weighted_Average_Maturity
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,15,Italy,33880.474103,7.924382839907688
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,28,Spain,18943.589654,8.002551942821185
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,43,United States,12037.290268,9.091544748296004
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,9,France,9835.97411799999,8.704445494162597
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,2,Belgium,5006.985536,9.283340856299608
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,246,Middle East,4607.639253,5.056216169746004
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,244,Other,4456.534898999979,7.580082089580416
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,37,Japan,3527.176023,2.754890433561444
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,10,Germany,2244.0875960000003,6.813705189864166
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,245,Other Central and eastern Europe countries non EEA,1844.9830169999998,2.9156140269636968
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,34,Croatia,1769.3312170000002,6.094024996366748
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,1,Austria,1745.062111,7.386429621830807
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,26,Slovakia,1604.5625180000002,6.555972212436411
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,12,Hungary,1464.004824,2.897975540926223
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,248,Africa,1417.386321,4.064181458524884
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,247,Latin America and the Caribbean,1240.346884,6.368409630015242
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,249,Other advanced economies non EEA,1201.520435,7.35732857978816
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,24,Portugal,998.9623590000001,8.26896601516494
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,21,Netherlands,968.37539,7.230410496723796
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,61,Australia,943.806343,9.121883552678137
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,25,Romania,905.6285010000001,3.119689301137619
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,82,Canada,893.603397,5.147493155316417
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,33,China,588.9160190000001,4.694038438101987
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,30,United Kingdom,578.632991,9.344980026380833
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,8,Finland,447.52376499999997,7.620420483144622
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,19,Luxembourg,427.57740900000005,5.0098349817167245
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,14,Ireland,412.53917299999995,6.198439467044261
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,27,Slovenia,392.886251,5.837732653311912
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,23,Poland,276.643308,8.928395184603563
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,35,Hong Kong,114.490682,0.8239549343849658
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,13,Iceland,48.768263000000005,6.4528457267383095
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,16,Latvia,13.845162,2.5
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,11,Greece,7.847472,11.986534517103086
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,22,Norway,4.8e-05,0.125
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,29,Sweden,4.4e-05,0.125
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,41,Switzerland,0.0,
202406,2420811,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,3,Bulgaria,0.0,
